age,sex,time,sim,rate
15-19,Female,2019,1,1.63e-5
15-19,Female,2019,2,1.51e-5
15-19,Female,2019,3,1.46e-5
15-19,Female,2019,4,1.52e-5
15-19,Female,2019,5,1.27e-5
15-19,Female,2019,6,1.5e-5
15-19,Female,2019,7,1.43e-5
15-19,Female,2019,8,1.56e-5
15-19,Female,2019,9,1.93e-5
15-19,Female,2019,10,1.69e-5
15-19,Female,2019,11,1.34e-5
15-19,Female,2019,12,1.46e-5
15-19,Female,2019,13,1.71e-5
15-19,Female,2019,14,1.64e-5
15-19,Female,2019,15,1.44e-5
15-19,Female,2019,16,1.43e-5
15-19,Female,2019,17,1.6e-5
15-19,Female,2019,18,1.59e-5
15-19,Female,2019,19,1.19e-5
15-19,Female,2019,20,1.3e-5
15-19,Female,2020,1,1.43e-5
15-19,Female,2020,2,1.35e-5
15-19,Female,2020,3,1.25e-5
15-19,Female,2020,4,1.38e-5
15-19,Female,2020,5,1.06e-5
15-19,Female,2020,6,1.25e-5
15-19,Female,2020,7,1.35e-5
15-19,Female,2020,8,1.3e-5
15-19,Female,2020,9,1.7e-5
15-19,Female,2020,10,1.52e-5
15-19,Female,2020,11,1.11e-5
15-19,Female,2020,12,1.22e-5
15-19,Female,2020,13,1.57e-5
15-19,Female,2020,14,1.37e-5
15-19,Female,2020,15,1.22e-5
15-19,Female,2020,16,1.28e-5
15-19,Female,2020,17,1.46e-5
15-19,Female,2020,18,1.44e-5
15-19,Female,2020,19,1.1e-5
15-19,Female,2020,20,1.17e-5
15-19,Female,2021,1,1.19e-5
15-19,Female,2021,2,1.1e-5
15-19,Female,2021,3,1.11e-5
15-19,Female,2021,4,1.16e-5
15-19,Female,2021,5,9e-6
15-19,Female,2021,6,1.04e-5
15-19,Female,2021,7,1.07e-5
15-19,Female,2021,8,1.11e-5
15-19,Female,2021,9,1.4e-5
15-19,Female,2021,10,1.22e-5
15-19,Female,2021,11,9.7e-6
15-19,Female,2021,12,1.03e-5
15-19,Female,2021,13,1.31e-5
15-19,Female,2021,14,1.04e-5
15-19,Female,2021,15,1.09e-5
15-19,Female,2021,16,9.8e-6
15-19,Female,2021,17,1.18e-5
15-19,Female,2021,18,1.16e-5
15-19,Female,2021,19,8.8e-6
15-19,Female,2021,20,8.8e-6
20-24,Female,2019,1,8.478e-4
20-24,Female,2019,2,8.354e-4
20-24,Female,2019,3,7.866e-4
20-24,Female,2019,4,7.763e-4
20-24,Female,2019,5,7.729e-4
20-24,Female,2019,6,8.925e-4
20-24,Female,2019,7,8.069e-4
20-24,Female,2019,8,8.34e-4
20-24,Female,2019,9,8.514e-4
20-24,Female,2019,10,8.076e-4
20-24,Female,2019,11,8.812e-4
20-24,Female,2019,12,7.49e-4
20-24,Female,2019,13,8.653e-4
20-24,Female,2019,14,8.376e-4
20-24,Female,2019,15,8.527e-4
20-24,Female,2019,16,8.561e-4
20-24,Female,2019,17,8.042e-4
20-24,Female,2019,18,8.425e-4
20-24,Female,2019,19,7.57e-4
20-24,Female,2019,20,8.022e-4
20-24,Female,2020,1,7.235e-4
20-24,Female,2020,2,7.278e-4
20-24,Female,2020,3,6.902e-4
20-24,Female,2020,4,6.981e-4
20-24,Female,2020,5,6.43e-4
20-24,Female,2020,6,7.414e-4
20-24,Female,2020,7,7.649e-4
20-24,Female,2020,8,7.082e-4
20-24,Female,2020,9,7.292e-4
20-24,Female,2020,10,7.166e-4
20-24,Female,2020,11,7.446e-4
20-24,Female,2020,12,6.361e-4
20-24,Female,2020,13,7.748e-4
20-24,Female,2020,14,7.181e-4
20-24,Female,2020,15,7.189e-4
20-24,Female,2020,16,7.273e-4
20-24,Female,2020,17,7.198e-4
20-24,Female,2020,18,7.518e-4
20-24,Female,2020,19,6.905e-4
20-24,Female,2020,20,7.294e-4
20-24,Female,2021,1,5.799e-4
20-24,Female,2021,2,5.914e-4
20-24,Female,2021,3,5.834e-4
20-24,Female,2021,4,5.762e-4
20-24,Female,2021,5,5.288e-4
20-24,Female,2021,6,6.255e-4
20-24,Female,2021,7,5.937e-4
20-24,Female,2021,8,6.14e-4
20-24,Female,2021,9,5.884e-4
20-24,Female,2021,10,5.756e-4
20-24,Female,2021,11,6.139e-4
20-24,Female,2021,12,5.433e-4
20-24,Female,2021,13,6.383e-4
20-24,Female,2021,14,5.686e-4
20-24,Female,2021,15,6.142e-4
20-24,Female,2021,16,5.448e-4
20-24,Female,2021,17,5.772e-4
20-24,Female,2021,18,6.064e-4
20-24,Female,2021,19,5.395e-4
20-24,Female,2021,20,5.534e-4
25-29,Female,2019,1,0.003635
25-29,Female,2019,2,0.0036432
25-29,Female,2019,3,0.0034949
25-29,Female,2019,4,0.0035418
25-29,Female,2019,5,0.0035463
